Id,Nome,Categoria,Telefono,Indirizzo,Comune,SiglaProvincia,Email,Valutazione,Latitudine,Longitudine,Provincia,EsisteValutazione,Popolazione
2sr,Flora,Alberghi,0586 600015,"Via Del Mare, 26",Bibbona,LI,info@florahotel.eu,3,43.2464531393,10.5276167393,Livorno,1,3181
3sr,Hotel Hermitage,Alberghi,0586 600218,"Via Dei Melograni, 13",Bibbona,LI,info@hotelhermitagebibbona.com,4,43.2447037,10.5342407,Livorno,1,3181
5sr,Hotel Marinetta,Alberghi,0586 600598,"Via Dei Cavalleggeri Nord, 3",Bibbona,LI,info@hotelmarinetta.it,4,43.2485858,10.5291082,Livorno,1,3181
6sr,Hotel Nina,Alberghi,0586 600039,"Via Del Forte, 7",Bibbona,LI,info@hotelnina.it,3,43.2385108,10.529345,Livorno,1,3181
9sr,Varo Village,Alberghi,0586 600500,"Via Del Forte, 1-5",Bibbona,LI,info@varovillage.com,4,43.2391951,10.5312058,Livorno,1,3181
14sr,Thomas,Alberghi,0565 976870,"Viale Degli Etruschi, 25 - M. Di Campo",Campo Nell'elba,LI,elbahotelthomas@gmail.com,3,42.7501877,10.1815316,Livorno,1,4721
17sr,I Ginepri,Alberghi,0565 744029,"Viale Italia, 13",Castagneto Carducci,LI,info@hoteliginepri.it,3,43.1767176,10.5390515,Livorno,1,8751
20sr,Hotel Il Bambolo,Alberghi,0565 775206,"Via Del Bambolo, 31",Castagneto Carducci,LI,info@hotelbambolo.com,3,43.1758161,10.5719348,Livorno,1,8751
25sr,Alta La Vista,Alberghi,0565 745992,"Via Del Tirreno, 21/23",Castagneto Carducci,LI,reception@risthotelmiramare.com,3,43.1766089,10.538526,Livorno,1,8751
29sr,Hotel Il Ponte,Alberghi,0586 680795,"Largo I Maggio, 3",Cecina,LI,info@hotelilponte.com,2,43.3141082,10.5153513,Livorno,1,27965
33sr,Hotel Massimo,Alberghi,0586 620216,"Via B. Zaccaria, 3",Cecina,LI,info@hotelmassimo.it,3,43.2953334,10.5017086,Livorno,1,27965
48sr,Albergo Cavour,Alberghi,0586 899604,"Via Adua, 10",Livorno,LI,hotelcavour@hotelcavour-livorno.it,1,43.5462905,10.3091699,Livorno,1,153859
49sr,Hotel Città,Alberghi,0586 839590,"Via Di Franco, 32",Livorno,LI,info@hotelcitta.it,3,43.5497741,10.3111844,Livorno,1,153859
58sr,Hotel Gran Duca,Alberghi,0586 891024,"Piazza G. Micheli, 16",Livorno,LI,granduca@granduca.it,4,43.5496674,10.3050505,Livorno,1,153859
65sr,La Rosa Del Tirreno,Alberghi,0586 491153,"Via Del Littorale, 547",Livorno,LI,info@hotelrosadeltirreno.it,3,43.453353,10.3758908,Livorno,1,153859
68sr,Hotel Rex,Alberghi,0586 580400,"Via Del Littorale, 164 - - Antignano",Livorno,LI,info@hotelrex.it,4,43.4918928,10.3279815,Livorno,1,153859
74sr,Hotel La Vedetta,Alberghi,0586 579957,"Via Della Lecceta, 5",Livorno,LI,info@hotellavedetta.it,3,43.4903838,10.3468052,Livorno,1,153859
77sr,Max Hotel Livorno,Alberghi,0586 426722,"Via Giotto Ciardi, 28",Livorno,LI,livorno@maxhotels.it,4,43.5569325,10.3409176,Livorno,1,153859
97sr,Hotel Atlantico,Alberghi,0586 752440,"Via Diego Martelli, 12",Rosignano Marittimo,LI,info@hotelatlantico.it,3,43.4048724,10.408996,Livorno,1,30125
100sr,Elba Hotel,Alberghi,0586 760939,"Via Aurelia, 301",Rosignano Marittimo,LI,info@elbahotel.net,3,43.3882979,10.4375479,Livorno,1,30125
109sr,Hotel Park,Alberghi,0586 752229,"Via F. Fellini, 19",Rosignano Marittimo,LI,info@hotel-park.it,3,43.4039497,10.4079636,Livorno,1,30125
110sr,Piccolo Hotel,Alberghi,0586 760145,"Via G. Rossini, 5",Rosignano Marittimo,LI,info@hotelrosignano.it,1,43.3917155,10.4311186,Livorno,1,30125
132sr,Riva Degli Etruschi,Alberghi,0565 7199,"Via Della Principessa, 120",San Vincenzo,LI,info@rivadeglietruschi.it,3,43.0728065343,10.5376911163,Livorno,1,6470
134sr,Stella Marina,Alberghi,0565 704256,"Via A. Costa, 9",San Vincenzo,LI,info@stellamarina.it,3,43.0968281,10.5383299,Livorno,1,6470
139sr,Hotel Aurora,Alberghi,0565 704465,"Via Abruzzo, 4",San Vincenzo,LI,info@hotel-aurora-mare.com,3,43.0875153241,10.5384099483,Livorno,1,6470
141sr,Hotel La Selva,Alberghi,0565 794239,"Via Delle Fornaci, 32 - Madonnina",Sassetta,LI,hotel.selva@tiscali.it,2,43.1291462,10.6432402,Livorno,1,473
145sr,La Dolce Vita,Residence,0565 29390,"Via Di Venturina, 18",Campiglia Marittima,LI,info@dolcevita.li.it,2,43.0550995847,10.6151103973,Livorno,1,12461
146sr,Campastrello Sport,Residence,0565 765128,"Via Di Campastrello, 1",Castagneto Carducci,LI,info@campastrellosport.it,3,43.1646687,10.5971361,Livorno,1,8751
153sr,Erba Di Campo,Residence,0586 578383,"Via Di Quarrata, 4 - Castellaccio Montenero",Livorno,LI,info@erbadicampo.com,2,43.4799306,10.3787331,Livorno,1,153859
157sr,Baia Etrusca,Residence,0565 21070,Loc. Torre Mozza - Vignale Riotorto,Piombino,LI,residencebaiaetrusca@virgilio.it,2,42.9438578097,10.7037734985,Livorno,1,32337
170sr,Santa Cecilia,Residence,0565 705457,"Via Vittorio Emanuele Ii, N. 129",San Vincenzo,LI,info@residencesantacecilia.it,3,43.1029308,10.5393731,Livorno,1,6470
175sr,Tos'camere Papillon,Affittacamere,0565 838129,"Via Guerrazzi, 11",Campiglia Marittima,LI,info@toscamere.it,1,43.059823,10.620759,Livorno,0,12461
182sr,La Fucinaia,Affittacamere,0565 838358,"Via Di San Vincenzo, 48",Campiglia Marittima,LI,info@fucinaia.it,1,43.0742720862,10.6033623219,Livorno,0,12461
187sr,Affittacamere La Mimosa Di Persico Silvia,Affittacamere,0565 749644,"Loc. Osteria Vecchia, 146/d",Castagneto Carducci,LI,info@mimosabolgheri.com,1,43.1646687,10.5971361,Livorno,0,8751
190sr,Camere La Polena,Affittacamere,0565 773243,"Via Firenze, 1/a",Castagneto Carducci,LI,info@camerelapolena.it,1,43.1762236,10.5400405,Livorno,0,8751
193sr,Villa Le Luci,Affittacamere,0565 763601,"Via Umberto I, 47",Castagneto Carducci,LI,info@villaleluci.it,1,43.1600122,10.6064309,Livorno,0,8751
213sr,La Casa Di Ulisse B & B,Affittacamere,0586 492052,"Via Vitalba, 3/5",Livorno,LI,lacasadiulisse@lorsamaggiore.com,1,43.4652546013,10.3648710251,Livorno,0,153859
253sr,Podere Vignanova,Alloggi Privati,3665063867,"Loc. Vigna Nuova, 56",Castagneto Carducci,LI,info@poderevignanova.com,1,43.1646687,10.5971361,Livorno,0,8751
263sr,Villa Panicucci B & B,Alloggi Privati,0586 579398,"Via Del Pino, 214 - Montenero",Livorno,LI,gianfrancomessina@virgilio.it,1,43.499014,10.3528231,Livorno,0,153859
269sr,Casa Anna,Alloggi Privati,329 2116854,"Via Silvestro Lega, 11 - - Antignano",Livorno,LI,casaannalivorno@gmail.com,1,43.5045741,10.3230119,Livorno,0,153859
299sr,La Casa Di Letizia,Alloggi Privati,3288228323,"Via Don Minzoni, 41",Suvereto,LI,elisa.12@inwind.it,1,43.079170067,10.6754815578,Livorno,0,2961
316sr,Il Palazzino,Agriturismi,0586 670330,"Frazione Bibbona, 27 - Il Palazzino",Bibbona,LI,info@ilpalazzino.com,3,43.2694489,10.5952101,Livorno,1,3181
319sr,Nonna Stella,Agriturismi,0586 600026,"Via Campigliese, 8",Bibbona,LI,info@nonnastella.it,3,43.2527872,10.5765232,Livorno,1,3181
320sr,Agriturismo De Fanti,Agriturismi,3474807119,"Via Dierne, 38",Bibbona,LI,agriturismo.defanti@alice.it,2,43.2742601,10.5891722,Livorno,1,3181
324sr,Podere Sant'elena,Agriturismi,0586 671071,Via Campo Di Sasso - Sant'elena,Bibbona,LI,tenutagardini@gmail.com,3,43.2672688155,10.6142520905,Livorno,1,3181
332sr,Villa Toscana,Agriturismi,0565 853462,Via Dei Granai,Campiglia Marittima,LI,info@villatoscanavacanze.it,3,43.0288707377,10.5633115768,Livorno,1,12461
336sr,Azienda Agrituristica Diciocco,Agriturismi,0565 850106,"Via Polledraia, 2",Campiglia Marittima,LI,info@diciocco.it,3,43.03621124,10.5891680717,Livorno,1,12461
340sr,Agriturismo L'oliveto,Agriturismi,0565 846534,"Via Aurelia Nord, 80 - Palmentello",Campiglia Marittima,LI,info@olivetoagriturismo.it,2,43.060321,10.6144677,Livorno,1,12461
365sr,Casa Mirella,Agriturismi,0565 763628,"Loc. Vallone Di Segalari, 185",Castagneto Carducci,LI,info@quattropini.it,1,43.1646687,10.5971361,Livorno,1,8751
368sr,La Rondine,Agriturismi,0565 749638,"Via Campo Al Noce, 151",Castagneto Carducci,LI,info@agriturismolarondine.it,3,43.2219246458,10.5811160803,Livorno,1,8751
371sr,Quattro Pini,Agriturismi,0565 763628,"Loc. Campastrello, 274",Castagneto Carducci,LI,info@quattropini.it,2,43.1646687,10.5971361,Livorno,1,8751
394sr,Campo Al Sole,Agriturismi,0586 969007,"Via Le Corti, 50 - - Castell'anselmo",Collesalvetti,LI,agricampoalsole@gmail.com,2,0.0,0.0,Livorno,1,16301
395sr,Azienda Agrituristica La Tanna,Agriturismi,0586 962856,"Via Tanna Bassa, 84",Collesalvetti,LI,info@agriturismolatanna.com,3,43.5952161,10.4568388,Livorno,1,16301
403sr,Dolci Ricordi Di Campanelli Livia Pagni,Agriturismi,3392585090,"Via Guadalayara, 134",Livorno,LI,dolci.ricordi@tiscali.it,3,43.5260841,10.3503455,Livorno,1,153859
404sr,I Cinque Lecci,Agriturismi,0586 578111,"Via Di Quercianella, 168 - Castellaccio Montenero",Livorno,LI,agriturismo@i5lecci.it,3,43.4814919996,10.3663086891,Livorno,1,153859
442sr,Le Biricoccole,Agriturismi,0586 788394,"Via Aurelia, 200",Rosignano Marittimo,LI,biricoccole@biricoccole.it,3,43.362746,10.452651,Livorno,1,30125
444sr,Pane E Vino,Agriturismi,0586 742470,"Loc. Pane E Vino, 237 - Pane E Vino, 237 - Gabbro",Rosignano Marittimo,LI,info@agriturismopaneevino.com,3,43.405624,10.473952,Livorno,1,30125
456sr,Il Cardinale,Agriturismi,0586 762658,"Via Di San Bartolo, 88 - San Bartolo",San Vincenzo,LI,giactem@tin.it,1,43.0923652376,10.5742442608,Livorno,1,6470
457sr,Agriturismo Barbadoro,Agriturismi,3388990861,"Via Aurelia Sud, 28 - Barbadoro",San Vincenzo,LI,info@agriturismo-barbadoro.com,2,43.0772066,10.5577407,Livorno,1,6470
462sr,Azienda Agrituristica Podere L'agave Di Zenoni Bar,Agriturismi,0565 703171,"Via San Bartolo, 19",San Vincenzo,LI,info@poderelagave.com,2,43.0894058,10.5611117,Livorno,1,6470
467sr,Agriturismo Podere La Cerreta,Agriturismi,0565 794352,"Via Campagna Sud, 143 - Pian Delle Vigne",Sassetta,LI,info@lacerreta.it,3,43.1288878645,10.65969944,Livorno,1,473
477sr,Azienda Agrituristica Il Ghiaccio,Agriturismi,0565 854104,"Loc. Il Ghiaccio, 72",Suvereto,LI,info@agriturismoilghiaccio.it,2,43.0953774,10.659815,Livorno,1,2961
