id;url;name;category;phone;fax;address;city;province;website;email;facilities;rate;DO_Y;DO_X;PRO_COM;ISTATPRO;ISTATREG
2;http://www.turismo.intoscana.it/booking/html/mappa.php?id=2;FLORA;Alberghi - Hotel;0586 600015;0586 602612;VIA DEL MARE, 26;Bibbona;LI;www.florahotel.eu;info@florahotel.eu;"Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Ascensore;Bar;Telefono in camera;Cassette di Sicurezza in Camera;Frigo Bar;Asciugacapelli;Tv Satellitare;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Ristorante;Accettazione Animali;Proprio";3;43.2464531393;10.5276167393;BIBBONA;LIVORNO;Toscana
3;http://www.turismo.intoscana.it/booking/html/mappa.php?id=3;HOTEL HERMITAGE;Alberghi - Hotel;0586 600218;0586 600760;VIA DEI MELOGRANI, 13;Bibbona;LI;www.hotelhermitagebibbona.com;info@hotelhermitagebibbona.com;"Aria Condizionata;Bar;Ristorante;Accettazione Animali;Proprio Parcheggio;Propria Piscina Scoperta;Carta di Credito;Servizio Baby Sitting";4;43.2447037000;10.5342407000;BIBBONA;LIVORNO;Toscana
5;http://www.turismo.intoscana.it/booking/html/mappa.php?id=5;HOTEL MARINETTA;Alberghi - Hotel;0586 600598;0586 600186;VIA DEI CAVALLEGGERI NORD, 3;Bibbona;LI;www.hotelmarinetta.it;info@hotelmarinetta.it;"Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Ascensore;Bar;Telefono in camera;Cassette di Sicurezza in Camera;Frigo Bar;Asciugacapelli;Servizio Fax;Tv Satellitare;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Ristorante;Proprio Parcheg";4;43.2485858000;10.5291082000;BIBBONA;LIVORNO;Toscana
6;http://www.turismo.intoscana.it/booking/html/mappa.php?id=6;HOTEL NINA;Alberghi - Hotel;0586 600039;0586 600299;VIA DEL FORTE, 7;Bibbona;LI;www.hotelnina.it;info@hotelnina.it;"Aria Condizionata;Bar;Ristorante;Accettazione Animali;Proprio Parcheggio;Carta di Credito";3;43.2385108000;10.5293450000;BIBBONA;LIVORNO;Toscana
9;http://www.turismo.intoscana.it/booking/html/mappa.php?id=9;VARO VILLAGE;Alberghi - Hotel;0586 600500;0586 602770;VIA DEL FORTE, 1-5;Bibbona;LI;www.varovillage.com;info@varovillage.com;"Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Ascensore;Bar;Telefono in camera;Cassette di Sicurezza in Camera;Frigo Bar;Asciugacapelli;Servizio Fax;Tv Satellitare;Accesso Internet;Wi-Fi;Ristorante;Accettazione Animali;Proprio Parcheggio;";4;43.2391951000;10.5312058000;BIBBONA;LIVORNO;Toscana
14;http://www.turismo.intoscana.it/booking/html/mappa.php?id=14;THOMAS;Alberghi - Hotel;0565 976870;0565 976870;VIALE DEGLI ETRUSCHI, 25 - M. DI CAMPO;Campo nell'Elba;LI;;elbahotelthomas@gmail.com;"Riscaldamento;Telefono in camera;Cassette di Sicurezza in Camera;Servizio Fax;Accettazione Animali;Proprio Parcheggio;Carta di Credito;Accettazione Gruppi;Accesso con Vetture Private;Colazione Compresa";3;42.7501877000;10.1815316000;CAMPO NELL'ELBA;LIVORNO;Toscana
17;http://www.turismo.intoscana.it/booking/html/mappa.php?id=17;I GINEPRI;Alberghi - Hotel;0565 744029;0565 744344;VIALE ITALIA, 13;Castagneto Carducci;LI;www.hoteliginepri.it;info@hoteliginepri.it;"Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Ascensore;Bar;Telefono in camera;Cassette di Sicurezza in Camera;Frigo Bar;Asciugacapelli;Servizio Fax;Tv Satellitare;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Ristorante;Accettazione An";3;43.1767176000;10.5390515000;CASTAGNETO CARDUCCI;LIVORNO;Toscana
20;http://www.turismo.intoscana.it/booking/html/mappa.php?id=20;HOTEL IL BAMBOLO;Alberghi - Hotel;0565 775206;0565 775346;VIA DEL BAMBOLO, 31;Castagneto Carducci;LI;www.hotelbambolo.com;info@hotelbambolo.com;"Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Bar;Telefono in camera;Frigo Bar;Asciugacapelli;Tv Satellitare;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Proprio Parcheggio;Propria Piscina Scoperta;Mountain Bike;Carta di Credito;Custod";3;43.1758161000;10.5719348000;CASTAGNETO CARDUCCI;LIVORNO;Toscana
25;http://www.turismo.intoscana.it/booking/html/mappa.php?id=25;ALTA LA VISTA;Alberghi - Hotel;0565 745992;0565 746812;VIA DEL TIRRENO, 21/23;Castagneto Carducci;LI;www.risthotelmiramare.com;reception@risthotelmiramare.com;"Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Ascensore;Bar;Telefono in camera;Cassette di Sicurezza in Camera;Frigo Bar;Asciugacapelli;Servizio Fax;Accesso Internet;Wi-Fi;Ristorante;Accettazione Animali;Proprio Parcheggio;Carta di Credit";3;43.1766089000;10.5385260000;CASTAGNETO CARDUCCI;LIVORNO;Toscana
29;http://www.turismo.intoscana.it/booking/html/mappa.php?id=29;HOTEL IL PONTE;Alberghi - Hotel;0586 680795;0586 630701;LARGO I MAGGIO, 3;Cecina;LI;www.hotelilponte.com;info@hotelilponte.com;"Riscaldamento;Bar;Telefono in camera;Servizio Fax;Accesso Internet;Wi-Fi;Ristorante;Accettazione Animali;Trasporto Clienti Stazione;Carta di Credito;Bancomat;Servizio Baby Sitting;Custodia Valori alla Reception;Lavatura e Stiratura Biancheria;Accettazion";2;43.3141082000;10.5153513000;CECINA;LIVORNO;Toscana
33;http://www.turismo.intoscana.it/booking/html/mappa.php?id=33;HOTEL MASSIMO;Alberghi - Hotel;0586 620216;0586 620805;VIA B. ZACCARIA, 3;Cecina;LI;www.hotelmassimo.it;info@hotelmassimo.it;"Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Ascensore;Bar;Telefono in camera;Cassette di Sicurezza in Camera;Asciugacapelli;Servizio Fax;Tv Satellitare;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Ristorante;Proprio Parcheggio;Carta";3;43.2953334000;10.5017086000;CECINA;LIVORNO;Toscana
48;http://www.turismo.intoscana.it/booking/html/mappa.php?id=48;ALBERGO CAVOUR;Alberghi - Hotel;0586 899604;0586 899604;VIA ADUA, 10;Livorno;LI;www.hotelcavour-livorno.it;hotelcavour@hotelcavour-livorno.it;"Accettazione Animali;Carta di Credito";1;43.5462905000;10.3091699000;LIVORNO;LIVORNO;Toscana
