id,nome,lat,lon,tipologia,indirizzo,cap,comune,provincia,email,telefono,fax
567rb,"Ristorante ""Semifonte",43.488079071039998,11.12462997437,RISTORANTE,"Via Pisana, 1",,,Firenze,semifonte@semifontehotel.it,055 8068051,055 8069283
468rb,Antica Osteria di Vico,43.513506,11.098876000000001,RISTORANTE,"Via della Villa, 1",50100,,Firenze,info@anticaosteriadivico.it,055 8073279,
725rb,Osteria di San Vivaldo,43.52376514617,10.895289806439999,RISTORANTE,"Via San Vivaldo, 21",50050,MONTAIONE,Firenze,carlamaria.alari@tin.it,0571 69264,0571 680118
524rb,"Ristorante ""Bassetto",43.530819000000001,11.061564000000001,RISTORANTE,"Via delle Città, 102",50052,CERTALDO,Firenze,info@ilbassetto.it,0571 664364,0571664736
578rb,"Ristorante ""Casolar di No' Altri",43.537620544429998,10.924849510190001,RISTORANTE,"Via Poggio dell'Aglione, 67",50050,GAMBASSI TERME,Firenze,3381072497@tim.it,0571 638274,0571 639670
724rb,"Ristorante ""Le Torri",43.539319999999996,10.954235000000001,RISTORANTE,"Via Volterrana, 3",50050,GAMBASSI TERME,Firenze,info@albergoletorri.it,0571 638189,0571 638188
2638rb,Pontormo caffè BIOBAR,43.539819000000001,10.954523,BOTTEGA,Via Volterrana 34,50050,GAMBASSI TERME,Firenze,gerardoregi@toscananet.it,0571 638130,
497rb,"Ristorante Agriturismo ""Vaianino",43.540103912349998,10.95487117767,RISTORANTE,"Via Montignoso, 87/a",50050,"Loc. Vaiano, GAMBASSI TERME",Firenze,info@vaianino.it,0571 678072 - 0571 678068,0571 678058
712rb,"Ristorante ""Il Castagno",43.540980219840002,10.954853072760001,RISTORANTE,,50050,"Castagno, GAMBASSI TERME",Firenze,,0571 678045,0571 678045
532rb,Bar Pizzeria Osteria Conca d'Oro,43.541058,11.316929999999999,RISTORANTE,"Via Chiantigiana, 31 - Panzano in Chianti",50022,"Panzano in Chianti, GREVE IN CHIANTI",Firenze,info@pizzeriaconcadoro.it,055 850602,
2136rb,Macelleria Neri Fabrizio & C.,43.542878000000002,11.0385034,BOTTEGA,Via Don Giovanni Minzoni 50,50052,CERTALDO,Firenze,macellerianeri@libero.it,0571668389,
716rb,"Ristorante ""La Saletta",43.547031402590001,11.042715072629999,RISTORANTE,"Via Roma, 4",50052,CERTALDO,Firenze,,0571 668188,0571 688188
717rb,Osteria del Vicario,43.549036000000001,11.045579999999999,RISTORANTE,"Via Rivellino, 3",50052,CERTALDO,Firenze,info@osteriadelvicario.it,0571 668676,0571 668228
1723rb,La Bottega di Chichibio,43.549241420000001,11.04534585,BOTTEGA,"Via Boccaccio, 4",50052,"0571/652504, CERTALDO",Firenze,,0571 652504,
2834rb,Osteria da Chichibio,43.549243799999999,11.0452546,RISTORANTE,via Boccaccio 4,50052,CERTALDO,Firenze,vanessa.gabelli@gmail.com,0571652504,
685rb,"Ristorante ""Carpe Diem",43.55057144165,10.9152765274,RISTORANTE,"Via Filicaia, 67",50050,MONTAIONE,Firenze,hotel.carpediem@inwind.it,0571 697888,0571 607603
704rb,"Ristorante ""La Cucina del Castellare",43.552352905269998,10.88286876678,RISTORANTE,"Via Cerroni, 1",50050,"Tonda, MONTAIONE",Firenze,info@castellareditonda.com,0571 69111,
708rb,"Ristorante ""De' Mannaioni",43.552745000000002,10.912755000000001,RISTORANTE,Via Cresci,50050,MONTAIONE,Firenze,info@unapalazzomannaioni.it,0571 69277,0571 697974
707rb,Osteria del Pesce Rosso,43.553117,10.913245,RISTORANTE,"Via Chiarenti, 14",50050,MONTAIONE,Firenze,,0571 69010,0571 69010
