Id,Nome,Latitudine,Longitudine,Categoria,Indirizzo,Comune,Provincia,Email,Telefono,SiglaProvincia,Valutazione,EsisteValutazione
2363rb,Borgo San Jacopo,43.7006504,10.7444344,Ristorante,Via Borgo San Jacopo 32/r,Firenze,Firenze,bsj@lungarnocollection.com,055281661,FI,1,0
686rb,"Ristorante ""La Certosa""",43.73020761383,11.22335659888,Ristorante,"Via Cassia, 1",Firenze,Firenze,ristcert@tin.it,055 2048876,FI,1,0
2026rb,Osteria Di Giogo,43.7471269,11.2940376,Ristorante,Via Chiantigiana 106,"Ponte A Ema, Firenze",Firenze,infi@osteria-giogo.it,0556461311,FI,1,0
2351rb,Erboristeria Albero Verde,43.7497312,11.2212111,Bottega,"Via Senese, 221-223/rosso","Galluzzo, Firenze",Firenze,info@alberoverde.net,0552047446,FI,1,0
2644rb,Trattoria Omero,43.7511749,11.2562538,Ristorante,Via Pian Dei Giullari 11/r,"Arcetri, Firenze",Firenze,omero@ristoranteomero.it,055220053,FI,1,0
1425rb,Piazzale Del Gusto,43.75762740825,11.27100058344,Ristorante,"Via Michelangiolo, 61",Firenze,Firenze,info@piazzaledelgusto.it,0550139903,FI,1,0
1982rb,La Terrazza Del Principe,43.762111,11.2726158,Ristorante,"Viale Machiavelli, 10",Firenze,Firenze,info@laterrazzadelprincipe.com,055 224104,FI,1,0
2587rb,Trattoria Da Beppino,43.7627571,11.2789025,Ristorante,Via Di Ripoli 13/r,Firenze,Firenze,trattoriabeppino@gmail.com,0556810505,FI,1,0
1064rb,Trattoria Boboli,43.7640798,11.2461386,Ristorante,Via Romana 45 R,Firenze,Firenze,trattoriaboboli@gmail.com,055 2336401,FI,1,0
258rb,Hosteria Del Bricco,43.76439954082,11.26382205462,Ristorante,"Via S. Niccolò, 8/12",Firenze,Firenze,info@osteriadelbricco.it,055 2345037,FI,1,0
878rb,Trattoria Celestino,43.76489814463,11.24788978461,Ristorante,"P.Zza Santa Felice, 4r",Firenze,Firenze,bruno.celestino@virgilio.it,055 2396574,FI,1,0
2023rb,Ristorante La Bocca Di Leone,43.7650412,11.2098797,Ristorante,Via Pisana 41 Rosso,Firenze,Firenze,info@laboccadileone.it,0552286572,FI,1,0
865rb,Osteria Santo Spirito,43.76643493719,11.24678329396,Ristorante,"P.Zza Santo Spirito, 16r",Firenze,Firenze,chiarata@interfree.it,055 2382383,FI,1,0
859rb,Borgo Antico,43.766466,11.247524,Ristorante,"Piazza Santo Spirito, 6/r",Firenze,Firenze,albertogargelli@alice.it,055 210437,FI,1,0
