Id,url,Nome,Categoria,Telefono,Fax,Indirizzo,Comune,SiglaProvincia,website,Email,facilities,Valutazione,Latitudine,Longitudine,PRO_COM,Provincia,Regione,EsisteValutazione
2sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=2,Flora,Alberghi,0586 600015,0586 602612,"Via Del Mare, 26",Bibbona,LI,www.florahotel.eu,info@florahotel.eu,Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Ascensore;Bar;Telefono in camera;Cassette di Sicurezza in Camera;Frigo Bar;Asciugacapelli;Tv Satellitare;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Ristorante;Accettazione Animali;Proprio,3,43.2464531393,10.5276167393,BIBBONA,Livorno,Toscana,1
3sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=3,Hotel Hermitage,Alberghi,0586 600218,0586 600760,"Via Dei Melograni, 13",Bibbona,LI,www.hotelhermitagebibbona.com,info@hotelhermitagebibbona.com,Aria Condizionata;Bar;Ristorante;Accettazione Animali;Proprio Parcheggio;Propria Piscina Scoperta;Carta di Credito;Servizio Baby Sitting,4,43.2447037,10.5342407,BIBBONA,Livorno,Toscana,1
5sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=5,Hotel Marinetta,Alberghi,0586 600598,0586 600186,"Via Dei Cavalleggeri Nord, 3",Bibbona,LI,www.hotelmarinetta.it,info@hotelmarinetta.it,Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Ascensore;Bar;Telefono in camera;Cassette di Sicurezza in Camera;Frigo Bar;Asciugacapelli;Servizio Fax;Tv Satellitare;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Ristorante;Proprio Parcheg,4,43.2485858,10.5291082,BIBBONA,Livorno,Toscana,1
6sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=6,Hotel Nina,Alberghi,0586 600039,0586 600299,"Via Del Forte, 7",Bibbona,LI,www.hotelnina.it,info@hotelnina.it,Aria Condizionata;Bar;Ristorante;Accettazione Animali;Proprio Parcheggio;Carta di Credito,3,43.2385108,10.529345,BIBBONA,Livorno,Toscana,1
9sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=9,Varo Village,Alberghi,0586 600500,0586 602770,"Via Del Forte, 1-5",Bibbona,LI,www.varovillage.com,info@varovillage.com,Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Ascensore;Bar;Telefono in camera;Cassette di Sicurezza in Camera;Frigo Bar;Asciugacapelli;Servizio Fax;Tv Satellitare;Accesso Internet;Wi-Fi;Ristorante;Accettazione Animali;Proprio Parcheggio;,4,43.2391951,10.5312058,BIBBONA,Livorno,Toscana,1
14sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=14,Thomas,Alberghi,0565 976870,0565 976870,"Viale Degli Etruschi, 25 - M. Di Campo",Campo nell'Elba,LI,,elbahotelthomas@gmail.com,Riscaldamento;Telefono in camera;Cassette di Sicurezza in Camera;Servizio Fax;Accettazione Animali;Proprio Parcheggio;Carta di Credito;Accettazione Gruppi;Accesso con Vetture Private;Colazione Compresa,3,42.7501877,10.1815316,CAMPO NELL'ELBA,Livorno,Toscana,1
17sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=17,I Ginepri,Alberghi,0565 744029,0565 744344,"Viale Italia, 13",Castagneto Carducci,LI,www.hoteliginepri.it,info@hoteliginepri.it,Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Ascensore;Bar;Telefono in camera;Cassette di Sicurezza in Camera;Frigo Bar;Asciugacapelli;Servizio Fax;Tv Satellitare;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Ristorante;Accettazione An,3,43.1767176,10.5390515,CASTAGNETO CARDUCCI,Livorno,Toscana,1
20sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=20,Hotel Il Bambolo,Alberghi,0565 775206,0565 775346,"Via Del Bambolo, 31",Castagneto Carducci,LI,www.hotelbambolo.com,info@hotelbambolo.com,Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Bar;Telefono in camera;Frigo Bar;Asciugacapelli;Tv Satellitare;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Proprio Parcheggio;Propria Piscina Scoperta;Mountain Bike;Carta di Credito;Custod,3,43.1758161,10.5719348,CASTAGNETO CARDUCCI,Livorno,Toscana,1
25sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=25,Alta La Vista,Alberghi,0565 745992,0565 746812,"Via Del Tirreno, 21/23",Castagneto Carducci,LI,www.risthotelmiramare.com,reception@risthotelmiramare.com,Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Ascensore;Bar;Telefono in camera;Cassette di Sicurezza in Camera;Frigo Bar;Asciugacapelli;Servizio Fax;Accesso Internet;Wi-Fi;Ristorante;Accettazione Animali;Proprio Parcheggio;Carta di Credit,3,43.1766089,10.538526,CASTAGNETO CARDUCCI,Livorno,Toscana,1
29sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=29,Hotel Il Ponte,Alberghi,0586 680795,0586 630701,"Largo I Maggio, 3",Cecina,LI,www.hotelilponte.com,info@hotelilponte.com,Riscaldamento;Bar;Telefono in camera;Servizio Fax;Accesso Internet;Wi-Fi;Ristorante;Accettazione Animali;Trasporto Clienti Stazione;Carta di Credito;Bancomat;Servizio Baby Sitting;Custodia Valori alla Reception;Lavatura e Stiratura Biancheria;Accettazion,2,43.3141082,10.5153513,CECINA,Livorno,Toscana,1
33sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=33,Hotel Massimo,Alberghi,0586 620216,0586 620805,"Via B. Zaccaria, 3",Cecina,LI,www.hotelmassimo.it,info@hotelmassimo.it,Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Ascensore;Bar;Telefono in camera;Cassette di Sicurezza in Camera;Asciugacapelli;Servizio Fax;Tv Satellitare;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Ristorante;Proprio Parcheggio;Carta,3,43.2953334,10.5017086,CECINA,Livorno,Toscana,1
48sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=48,Albergo Cavour,Alberghi,0586 899604,0586 899604,"Via Adua, 10",Livorno,LI,www.hotelcavour-livorno.it,hotelcavour@hotelcavour-livorno.it,Accettazione Animali;Carta di Credito,1,43.5462905,10.3091699,LIVORNO,Livorno,Toscana,1
49sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=49,Hotel Città,Alberghi,0586 839590,0586 205924,"Via Di Franco, 32",Livorno,LI,www.hotelcitta.it,info@hotelcitta.it,Riscaldamento;Aria Condizionata;Telefono in camera;Cassette di Sicurezza in Camera;Frigo Bar;Asciugacapelli;Servizio Fax;Tv Satellitare;Accesso Internet;Wi-Fi;Accettazione Animali;Carta di Credito;Bancomat;Propria Autorimessa;Servizio Baby Sitting;Custod,3,43.5497741,10.3111844,LIVORNO,Livorno,Toscana,1
