Comune,Popolazione
Aulla,10690
Bagnone,1677
Carrara,59986
Casola in Lunigiana,947
Comano,667
Filattiera,2190
Fivizzano,7060
Fosdinovo,4586
Licciana Nardi,4722
Massa,66288
Montignoso,10030
Mulazzo,2289
Podenzana,2101
Pontremoli,6897
Tresana,1956
Villafranca in Lunigiana,4557
Zeri,940
Altopascio,15874
Bagni di Lucca,5606
Barga,9449
Borgo a Mozzano,6690
Camaiore,31914
Camporgiano,2005
Capannori,46356
Careggine,510
Castelnuovo di Garfagnana,5646
Castiglione di Garfagnana,1708
Coreglia Antelminelli,5070
Forte dei Marmi,6879
Fosciandora,559
Gallicano,3630
Lucca,89156
Massarosa,21822
Minucciano,1805
Molazzana,994
Montecarlo,4403
Pescaglia,3297
Piazza al Serchio,2106
Pietrasanta,22933
Pieve Fosciana,2236
Porcari,8811
San Romano in Garfagnana,1339
Seravezza,12395
Stazzema,2877
Vagli Sotto,834
Viareggio,60890
Villa Basilica,1477
Villa Collemandina,1202
Fabbriche di Vergemoli,721
Sillano Giuncugnano,990
Agliana,17957
Buggiano,8746
Lamporecchio,7380
Larciano,6312
Marliana,3241
Massa e Cozzile,7753
Monsummano Terme,20789
Montale,10565
Montecatini-Terme,20789
Pescia,19277
Pieve a Nievole,9122
Pistoia,89524
Ponte Buggianese,8745
Quarrata,26793
Sambuca Pistoiese,1446
Serravalle Pistoiese,11764
Uzzano,5592
Chiesina Uzzanese,4502
Abetone Cutigliano,1836
San Marcello Piteglio,7626
Bagno a Ripoli,25207
Barberino di Mugello,10938
Borgo San Lorenzo,18169
Calenzano,18099
Campi Bisenzio,47676
Capraia e Limite,7875
Castelfiorentino,17281
Cerreto Guidi,10714
Certaldo,15534
Dicomano,5484
Empoli,48922
Fiesole,13666
Firenze,362742
Firenzuola,4402
Fucecchio,22756
Gambassi Terme,4838
Greve in Chianti,13330
Impruneta,14411
Lastra a Signa,19638
Londa,1830
Marradi,2900
Montaione,3492
Montelupo Fiorentino,14202
Montespertoli,13249
Palazzuolo sul Senio,1113
Pelago,7805
Pontassieve,20208
Reggello,16499
Rignano sull'Arno,8525
Rufina,7110
San Casciano in Val di Pesa,16492
San Godenzo,1051
Scandicci,49499
Sesto Fiorentino,48895
Signa,18919
Vaglia,5173
Vicchio,8037
Vinci,14467
Figline e Incisa Valdarno,23119
Scarperia e San Piero,12017
Barberino Tavarnelle,11910
Bibbona,3181
Campiglia Marittima,12461
Campo nell'Elba,4721
Capoliveri,3908
Capraia Isola,370
Castagneto Carducci,8751
Cecina,27965
Collesalvetti,16301
Livorno,153859
Marciana,2041
Marciana Marina,1877
Piombino,32337
Porto Azzurro,3635
Portoferraio,11821
Rosignano Marittimo,30125
San Vincenzo,6470
Sassetta,473
Suvereto,2961
Rio,3348
Bientina,8616
Buti,5554
Calci,6308
Calcinaia,12750
Capannoli,6394
Casale Marittimo,1052
Cascina,44826
Castelfranco di Sotto,13560
Castellina Marittima,1829
Castelnuovo di Val di Cecina,2076
Chianni,1311
Fauglia,3637
Guardistallo,1159
Lajatico,1264
Montecatini Val di Cecina,1685
Montescudaio,2147
Monteverdi Marittimo,766
Montopoli in Val d'Arno,11187
Orciano Pisano,635
Palaia,4532
Peccioli,4676
Pisa,89059
Pomarance,5314
Ponsacco,15575
Pontedera,29458
Riparbella,1590
San Giuliano Terme,30701
San Miniato,27732
Santa Croce sull'Arno,14733
Santa Luce,1626
Santa Maria a Monte,13376
Terricciola,4446
Vecchiano,11859
Vicopisano,8579
Volterra,9559
Casciana Terme Lari,12130
Crespina Lorenzana,5469
Anghiari,5389
Arezzo,96535
Badia Tedalda,971
Bibbiena,11886
Bucine,9952
Capolona,5224
Caprese Michelangelo,1342
Castel Focognano,2966
Castel San Niccolò,2492
Castiglion Fibocchi,2097
Castiglion Fiorentino,12935
Cavriglia,9422
Chitignano,851
Chiusi della Verna,1889
Civitella in Val di Chiana,8785
Cortona,21178
Foiano della Chiana,9073
Loro Ciuffenna,5872
Lucignano,3394
Marciano della Chiana,3431
Montemignaio,518
Monterchi,1701
Monte San Savino,8573
Montevarchi,24137
Ortignano Raggiolo,836
Pieve Santo Stefano,2969
Poppi,5817
San Giovanni Valdarno,16588
Sansepolcro,15169
Sestino,1196
Subbiano,6299
Talla,986
Terranuova Bracciolini,11958
Castelfranco Piandiscò,9793
Pratovecchio Stia,5441
Laterina Pergine Valdarno,6387
Abbadia San Salvatore,6005
Asciano,6799
Buonconvento,2989
Casole d'Elsa,3717
Castellina in Chianti,2644
Castelnuovo Berardenga,8936
Castiglione d'Orcia,2140
Cetona,2499
Chianciano Terme,6937
Chiusdino,1744
Chiusi,8100
Colle di Val d'Elsa,21635
Gaiole in Chianti,2529
Montepulciano,13280
Monteriggioni,10000
Monteroni d'Arbia,9068
Monticiano,1563
Murlo,2429
Piancastagnaio,3882
Pienza,1983
Poggibonsi,28363
Radda in Chianti,1452
Radicofani,1056
Radicondoli,948
Rapolano Terme,5093
San Casciano dei Bagni,1495
San Gimignano,7493
San Quirico d'Orcia,2581
Sarteano,4485
Siena,52974
Sinalunga,12110
Sovicille,9869
Torrita di Siena,6969
Trequanda,1167
Montalcino,5623
Arcidosso,4201
Campagnatico,2353
Capalbio,3864
Castel del Piano,4753
Castell'Azzara,1310
Castiglione della Pescaia,7131
Cinigiano,2377
Civitella Paganico,2922
Follonica,20457
Gavorrano,8262
Grosseto,81608
Isola del Giglio,1322
Magliano in Toscana,3294
Manciano,7062
Massa Marittima,8167
Monte Argentario,11889
Montieri,1191
Orbetello,14315
Pitigliano,3585
Roccalbegna,918
Roccastrada,8788
Santa Fiora,2504
Scansano,4328
Scarlino,3749
Seggiano,1007
Sorano,3041
Monterotondo Marittimo,1270
Semproniano,965
Cantagallo,3109
Carmignano,14623
Montemurlo,19177
Poggio a Caiano,9929
Prato,196317
Vaiano,9932
Vernio,6157
